class,amount-observed,amount-collected,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,articles,articles-top,page,internet-mentions,twitter-mentions,region,population,habitat
e,2447,1708,x,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,3.0,2.0,497,12315,8681,au,v,d
p,3194,2389,f,s,n,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,13.0,7.0,1715,13393,9453,eu,v,p
e,2652,1812,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,6.0,4.0,2306,13264,10047,eu,n,g
e,2767,2031,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,12.0,6.0,78,12836,9854,au,s,g
p,2119,1674,f,y,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,11.0,7.0,1758,7760,5074,af,v,d
e,2391,1617,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,3.0,2.0,1973,10612,7849,au,n,m
p,4592,2930,f,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,4.0,3.0,2056,11035,8237,as,v,g
e,3217,2031,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,16.0,9.0,3337,4352,2906,au,v,d
p,2371,1487,x,s,n,f,f,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,11.0,5.0,3200,13454,9507,na,v,d
e,2732,?,x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,2.0,1.0,2268,12047,7359,au,y,d
p,1495,968,x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,18.0,10.0,1574,10482,7972,eu,y,g
e,3709,2763,x,y,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,9.0,6.0,1304,9430,7117,as,y,d
e,3620,2236,k,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,5.0,3.0,1282,7236,5045,sa,c,l
e,2349,1758,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,4.0,2.0,2811,13972,10271,af,y,p
e,4816,3191,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,0.0,0.0,692,7265,5251,sa,s,m
p,2985,1759,b,s,b,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,4.0,2.0,1540,9615,6593,as,v,g
p,3286,2371,x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,5.0,3.0,2804,13292,7155,sa,v,d
e,4301,2903,x,f,g,f,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,4.0,2.0,153,11952,7622,na,n,g
p,2041,1462,f,y,e,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,7.0,4.0,2140,13186,9425,sa,v,p
p,3109,2197,f,y,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,0.0,0.0,1684,11549,7607,eu,y,p
e,3390,2152,f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,10.0,6.0,1566,11367,7501,sa,a,g
p,3711,2124,x,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,6.0,4.0,2035,5275,3778,sa,v,d
e,3294,2204,x,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,y,4.0,2.0,2631,18400,13799,eu,c,l
p,2822,1755,f,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,0.0,0.0,1894,12293,9152,na,y,d
e,3001,?,f,y,b,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,2.0,1.0,3805,11615,6801,af,c,w
e,2891,1815,x,f,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,13.0,8.0,2618,10479,7058,au,y,d
e,3454,2634,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,5.0,3.0,3633,13689,9636,as,s,m
e,2334,1605,f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,0.0,0.0,2151,6566,4468,as,v,d
p,3349,2135,x,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,19.0,12.0,1168,6410,4726,sa,y,d
e,3237,2134,x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,16.0,8.0,2927,9433,6266,as,v,d
e,1974,1388,f,y,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,2.0,1.0,2187,9623,6935,as,v,d
e,3112,2233,x,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,11.0,8.0,3697,11817,8810,au,v,d
p,2636,1965,k,y,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,15.0,8.0,2582,12644,8660,na,v,p
p,3320,2298,f,y,e,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,7.0,4.0,3001,5653,3680,sa,v,l
e,1705,1198,f,y,w,f,n,f,c,n,p,e,?,s,f,w,w,p,w,o,f,h,4.0,2.0,743,8918,5677,na,v,d
e,2615,1801,f,f,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,17.0,11.0,3509,11967,8520,au,y,d
p,3558,2160,k,y,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,2.0,1.0,1994,8239,5536,as,v,l
p,2708,2134,f,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,16.0,6.0,1665,15715,12402,eu,y,d
p,2765,2078,b,y,w,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,8.0,4.0,58,11156,8382,au,v,m
p,3351,2449,x,s,e,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,12.0,6.0,511,8765,6309,na,v,p
e,4000,2847,f,y,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,9.0,6.0,1316,11179,8278,na,y,d
e,3745,2614,f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,9.0,5.0,3112,10273,6772,au,a,g
e,2574,1706,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,b,15.0,9.0,3633,11795,8394,af,c,l
e,2715,1890,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,6.0,4.0,3807,12724,9343,na,v,d
p,1312,916,f,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,0.0,0.0,37,10377,6997,as,v,g
p,2628,1846,k,y,e,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,1.0,0.0,1526,10859,8110,as,v,d
e,1981,1334,x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,6.0,4.0,1964,9560,6683,as,y,d
p,658,498,k,y,e,f,s,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,2.0,1.0,2799,12507,8192,au,v,d
p,3734,2566,f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,11.0,7.0,385,7685,4987,na,v,g
p,2628,1904,x,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,11.0,6.0,3650,7448,4816,as,v,d
p,2711,1937,x,y,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,13.0,7.0,3589,12961,9819,na,v,p
p,2110,1429,k,s,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,16.0,9.0,1697,12363,9162,as,v,p
p,2008,1471,k,y,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,17.0,11.0,3641,12397,9304,sa,v,d
e,4108,2808,k,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,5.0,3.0,3724,15513,10342,as,s,g
e,2037,1505,x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,19.0,12.0,2204,10324,7787,au,s,g
e,1630,1199,x,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,4.0,2.0,3402,12827,8762,sa,v,d
e,2781,1894,k,f,g,f,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,12.0,7.0,2041,13482,9240,na,n,g
e,3760,2465,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,14.0,9.0,1738,12777,8087,as,n,m
p,4106,2764,f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,13.0,7.0,536,7308,5375,na,y,g
e,2955,1988,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,6.0,3.0,1990,10602,7934,eu,s,g
p,3507,2494,f,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,18.0,10.0,943,10260,6735,au,v,d
e,2685,1726,x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,11.0,7.0,3826,8523,5637,as,y,d
p,2154,1577,f,y,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,7.0,5.0,2238,11936,8613,as,v,g
p,3752,2439,f,s,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,18.0,10.0,228,9397,6640,as,v,d
p,4227,2957,k,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,11.0,6.0,1100,11134,7283,sa,v,l
e,3267,2216,k,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,9.0,6.0,808,6210,4670,af,n,g
e,3978,2869,f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,17.0,12.0,3173,8558,6415,eu,y,d
e,2768,1927,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,19.0,11.0,2340,11551,7235,sa,n,g
p,1844,1303,x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,10.0,5.0,1010,9950,7196,na,s,g
p,1486,994,f,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,6.0,3.0,1009,8433,5616,sa,y,p
e,2956,2335,x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,18.0,13.0,3467,11005,7996,af,y,d
p,2864,1749,x,y,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,15.0,10.0,663,7246,4760,sa,y,p
e,3772,2518,f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,8.0,6.0,3679,10117,6705,af,v,d
p,1844,1274,x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,17.0,9.0,2023,9659,6999,eu,y,g
e,3472,2591,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,18.0,10.0,967,8123,5436,as,s,m
e,3174,2153,x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,17.0,11.0,1259,10110,6677,au,y,d
p,2587,1949,x,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,4.0,2.0,1416,8215,6680,na,y,g
p,4519,3136,x,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,18.0,12.0,2837,9647,6089,af,v,p
e,2218,1775,b,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,y,3.0,2.0,1207,8343,5174,eu,c,l
p,3331,2539,x,s,g,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,7.0,4.0,1958,8197,5193,eu,s,g
p,4346,3067,f,y,e,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,9.0,6.0,1220,7712,4151,na,v,p
p,3578,2577,f,s,n,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,5.0,3.0,2617,8155,5684,eu,v,l
p,2907,1993,x,s,n,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,5.0,3.0,992,12276,8864,eu,v,p
e,1521,1019,x,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,5.0,3.0,712,10486,6955,sa,y,d
p,2788,2072,x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,9.0,5.0,703,10681,7570,eu,v,p
e,3193,2250,f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,3.0,2.0,3431,13870,10637,au,s,g
p,3058,2032,b,y,b,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,10.0,7.0,2320,9847,7003,sa,v,g
p,1906,1342,k,y,e,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,15.0,9.0,3548,11899,8981,na,v,p
p,1800,1274,x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,8.0,5.0,3712,11258,8366,au,v,d
e,3092,2304,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,9.0,5.0,1300,13385,9327,af,s,m
p,3992,2916,x,y,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,9.0,5.0,2406,7937,6177,eu,v,g
e,1471,1109,f,f,n,f,n,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,13.0,8.0,2380,16864,12144,au,v,l
e,2921,2156,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,5.0,3.0,2235,6985,5163,af,n,g
p,2024,1691,x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,0.0,0.0,2006,7976,5889,as,v,p
e,3508,2683,x,f,g,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,0.0,0.0,1039,10735,8170,au,v,d
e,2561,1498,f,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,1.0,1.0,1599,12186,8963,sa,v,d
p,2743,1997,x,s,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,4.0,2.0,955,12460,9124,sa,v,l
e,2587,1896,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,n,o,p,b,15.0,10.0,744,8819,6648,eu,c,l
e,2269,1610,f,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,2.0,1.0,2915,15925,11826,sa,y,d
e,3737,2670,f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,3.0,2.0,1262,7920,6122,na,v,d
e,3536,2188,f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,15.0,10.0,716,10276,7259,eu,y,g
e,2766,1833,f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,12.0,8.0,2354,12962,8619,as,v,d
p,4114,2889,x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,1.0,1.0,642,12313,8937,af,y,g
e,3597,2535,x,s,n,t,n,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,2.0,1.0,3779,14345,9967,as,c,w
p,2714,1928,x,s,e,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,9.0,6.0,2092,8955,6376,sa,v,d
p,2719,2195,x,y,n,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,6.0,3.0,2916,11701,8712,na,v,l
e,2944,2317,x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,1.0,1.0,1824,10382,7721,au,v,d
e,3785,2765,f,y,r,f,n,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,1.0,0.0,1855,14356,10533,eu,y,d
e,3978,2566,f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,15.0,10.0,1188,15332,9997,sa,v,d
p,2840,1981,f,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,5.0,3.0,2959,16176,13209,af,v,d
e,2343,1543,f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,4.0,2.0,1680,8378,6067,eu,v,d
e,2476,1588,x,y,w,f,n,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,18.0,9.0,817,11368,7750,sa,v,d
e,3770,2624,x,y,b,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,19.0,12.0,434,14327,9540,af,c,w
e,1776,1239,f,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,2.0,1.0,38,7026,4464,sa,y,d
p,3948,2762,k,s,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,16.0,10.0,1310,13612,9646,eu,v,l
e,2795,1900,f,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,19.0,13.0,3068,13104,9323,sa,s,g
p,2148,1299,k,y,e,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,17.0,10.0,1070,10757,8692,af,v,l
p,4063,2683,x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,18.0,11.0,2115,14159,9258,au,v,g
p,2861,1862,f,s,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,8.0,4.0,2744,11975,8721,au,v,l
e,2112,1394,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,1.0,1.0,3201,8106,6190,au,s,p
e,3739,2428,x,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,14.0,8.0,1340,17287,12668,af,v,d
e,2029,1302,f,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,11.0,7.0,660,11855,8328,na,y,d
e,2329,1453,f,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,10.0,6.0,149,10463,7557,eu,a,g
p,3329,2243,x,s,e,f,y,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,9.0,5.0,3367,12810,8713,sa,v,l
p,4210,2658,k,s,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,19.0,12.0,102,14074,9715,eu,v,d
e,4416,2974,f,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,13.0,7.0,3323,12373,9068,au,s,g
p,2810,1880,k,y,e,f,s,f,c,n,b,t,?,k,s,w,p,p,w,o,e,w,9.0,6.0,1263,9791,7031,af,v,l
p,2897,1911,f,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,2.0,1.0,3553,7017,4997,sa,v,l
e,3726,2548,f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,6.0,4.0,2076,9344,6585,as,y,d
p,3485,2524,x,f,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,19.0,10.0,1167,11222,6842,as,y,p
p,2181,1848,x,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,2.0,1.0,1820,14523,10549,na,y,g
e,2784,1949,x,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,7.0,4.0,3489,11830,8272,af,s,g
e,3543,2567,b,s,w,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,1.0,1.0,3207,11537,7614,na,s,g
p,2386,1648,f,y,n,f,m,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,2.0,1.0,1389,11092,7230,as,c,d
p,3084,2077,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,16.0,11.0,2687,11577,8654,au,v,g
e,3327,2215,x,y,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,19.0,11.0,2323,12495,8436,na,y,d
e,2196,1590,x,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,5.0,3.0,32,12330,8184,as,v,d
p,2450,1651,f,s,e,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,15.0,9.0,2260,9738,7101,sa,v,l
p,3223,2285,x,s,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,9.0,6.0,3316,12306,7887,as,v,l
e,3439,2745,x,s,p,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,3.0,2.0,2559,9397,7048,eu,c,w
p,1732,1102,f,s,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,15.0,8.0,3237,10920,7083,au,v,l
p,2224,1505,f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,12.0,8.0,2301,8214,5500,eu,v,d
